Coin,Timeframe,Trades,Sharp Ratio,Return,Max. Drawdown
APE/USDC:USDC,30m,55,1.6044135712703316,71.22691864159997,-8.322111478565608
APE/USDC:USDC,1h,51,2.1935330771264616,125.97020258240026,-7.267959467075203
APT/USDC:USDC,30m,57,0.7220257035240767,192.80404321600003,-12.898501156588605
APT/USDC:USDC,1h,27,0.9901046094266744,50.19745462400004,-15.807311183579687
AR/USDC:USDC,30m,71,1.2156822961832634,277.8281570719997,-8.286468237545863
AR/USDC:USDC,1h,51,1.114901804308327,446.3686492880001,-8.437793107774016
ARB/USDC:USDC,30m,67,1.8663653051080853,87.34003422959996,-8.422827005772648
ARB/USDC:USDC,1h,49,2.0449475193718034,116.64420658799992,-7.194363597378494
ARK/USDC:USDC,30m,47,1.0120503049514056,137.27305366392,-11.240544074263404
ARK/USDC:USDC,1h,25,1.4305180117928393,148.12643677311985,-5.787209686089123
ATOM/USDC:USDC,30m,91,1.9928387310388367,23.289827783999893,-12.143397448863414
ATOM/USDC:USDC,1h,71,2.383789130915305,86.16024871200005,-4.629092001058266
AVAX/USDC:USDC,30m,47,1.0403645889506294,86.07008003999998,-13.26046316665982
AVAX/USDC:USDC,1h,25,1.1159685332355895,112.52209332799994,-10.689443513348495
BADGER/USDC:USDC,30m,329,0.3823648007356825,8.20383145199965,-29.859408655999996
BADGER/USDC:USDC,1h,150,0.3495488860256109,86.9332993519996,-20.10893348231835
BANANA/USDC:USDC,30m,0,nan,0.0,-0.0
AVAX/USDC:USDC,30m,57,0.963962674831833,117.34108014399989,-13.483102718480822
AVAX/USDC:USDC,1h,23,1.2017797269078494,120.52010205599994,-10.689443513348495
BADGER/USDC:USDC,30m,319,0.3377781619001996,102.24339897199965,-29.248444448047373
BADGER/USDC:USDC,1h,39,0.17400342936131905,334.9453756967996,-10.919117953125646
BANANA/USDC:USDC,30m,0,nan,0.0,-0.0
AVAX/USDC:USDC,30m,47,1.029761044650797,85.08819526399992,-13.260707175691556
AVAX/USDC:USDC,1h,35,1.151368665891776,134.13132192,-8.000504910168704
BADGER/USDC:USDC,30m,275,0.38792014483230175,321.27408588159994,-16.261791642456046
BADGER/USDC:USDC,1h,41,0.18446168797933185,374.4410962431994,-10.919308943855132
BANANA/USDC:USDC,30m,0,nan,0.0,-0.0
BANANA/USDC:USDC,30m,0,nan,0.0,-0.0
