,open,high,low,close,volume,Open,High,Low,Close,Volume
2024-03-29 16:00:00,7.0371,7.0706,7.0079,7.0148,872.5,,,,,
2024-03-29 16:00:00,,,,,,7.0371,7.0706,7.0079,7.0148,872.5
2024-03-29 17:00:00,,,,,,7.0129,7.0671,7.0039,7.0279,328.0
2024-03-29 17:00:00,7.0129,7.0671,7.0039,7.0279,328.0,,,,,
2024-03-29 18:00:00,,,,,,7.0378,7.0674,7.0102,7.0674,2972.7
2024-03-29 18:00:00,7.0378,7.0674,7.0102,7.0674,2972.7,,,,,
2024-03-29 19:00:00,,,,,,7.0614,7.088,7.0255,7.0671,389.5
2024-03-29 19:00:00,7.0614,7.088,7.0255,7.0671,389.5,,,,,
2024-03-29 20:00:00,,,,,,7.0663,7.0944,7.0333,7.0478,34859.8
2024-03-29 20:00:00,7.0663,7.0944,7.0333,7.0478,34859.8,,,,,
2024-03-29 21:00:00,7.0515,7.0573,6.987,7.0178,13732.4,,,,,
2024-03-29 21:00:00,,,,,,7.0515,7.0573,6.987,7.0178,13732.4
2024-03-29 22:00:00,7.018,7.1425,7.018,7.1224,46111.1,,,,,
2024-03-29 22:00:00,,,,,,7.018,7.1425,7.018,7.1224,46111.1
2024-03-29 23:00:00,,,,,,7.1061,7.1656,7.1052,7.129,37588.4
2024-03-29 23:00:00,7.1061,7.1656,7.1052,7.129,37588.4,,,,,
2024-03-30 00:00:00,,,,,,7.1245,7.126,6.7,7.1146,122434.7
2024-03-30 00:00:00,7.1245,7.126,6.7,7.1146,122434.7,,,,,
2024-03-30 01:00:00,,,,,,7.1217,7.1707,7.0934,7.0986,14181.8
2024-03-30 01:00:00,7.1217,7.1707,7.0934,7.0986,14181.8,,,,,
2024-03-30 02:00:00,7.099,7.0992,7.0301,7.0612,21041.0,,,,,
2024-03-30 02:00:00,,,,,,7.099,7.0992,7.0301,7.0612,21041.0
2024-03-30 03:00:00,7.0599,7.0599,6.9168,6.9381,25708.0,,,,,
2024-03-30 03:00:00,,,,,,7.0599,7.0599,6.9168,6.9381,25708.0
2024-03-30 04:00:00,,,,,,6.939,7.0759,6.9348,7.0383,89008.2
2024-03-30 04:00:00,6.939,7.0759,6.9348,7.0383,89008.2,,,,,
2024-03-30 05:00:00,7.0325,7.0672,6.9292,6.984,142046.5,,,,,
2024-03-30 05:00:00,,,,,,7.0325,7.0672,6.9292,6.984,142046.5
2024-03-30 06:00:00,6.9779,6.9779,6.9151,6.9623,7832.5,,,,,
2024-03-30 06:00:00,,,,,,6.9779,6.9779,6.9151,6.9623,7832.5
2024-03-30 07:00:00,,,,,,6.9577,6.9628,6.8787,6.8861,4321.9
2024-03-30 07:00:00,6.9577,6.9628,6.8787,6.8861,4321.9,,,,,
2024-03-30 08:00:00,,,,,,6.8802,6.9361,6.8693,6.9222,2100.7
2024-03-30 08:00:00,6.8802,6.9361,6.8693,6.9222,2100.7,,,,,
2024-03-30 09:00:00,,,,,,6.916,6.9848,6.9071,6.9649,1298.2
2024-03-30 09:00:00,6.916,6.9848,6.9071,6.9649,1298.2,,,,,
2024-03-30 10:00:00,6.9676,6.9859,6.9432,6.9463,2657.9,,,,,
2024-03-30 10:00:00,,,,,,6.9676,6.9859,6.9432,6.9463,2657.9
2024-03-30 11:00:00,,,,,,6.9462,6.9959,6.9462,6.9818,13644.1
2024-03-30 11:00:00,6.9462,6.9959,6.9462,6.9818,13644.1,,,,,
2024-03-30 12:00:00,6.9807,6.9815,6.9203,6.9739,8367.2,,,,,
2024-03-30 12:00:00,,,,,,6.9807,6.9815,6.9203,6.9739,8367.2
2024-03-30 13:00:00,,,,,,6.9703,7.0295,6.9641,6.9795,73716.0
2024-03-30 13:00:00,6.9703,7.0295,6.9641,6.9795,73716.0,,,,,
2024-03-30 14:00:00,6.9772,6.9858,6.936,6.9858,4150.9,,,,,
2024-03-30 14:00:00,,,,,,6.9772,6.9858,6.936,6.9858,4150.9
2024-03-30 15:00:00,6.9793,7.0164,6.8545,6.9807,48420.4,,,,,
2024-03-30 15:00:00,,,,,,6.9793,7.0164,6.8545,6.9807,48420.4
